pwsid,p_lead_rich,exp_hidden_lead,inv_cost,rank
IN5267003,0.8689904721311101,222.3433362531594,135800.0,250
WI7720169,0.8687338275354988,227.51543557605865,139000.0,251
IL1055030,0.8686731438066071,544.3622156568961,332600.0,252
NC0136035,0.8670353929849048,784.4555049282048,480200.0,253
IL0314710,0.8665116883098527,472.4787550628122,289400.0,254
PA7210029,0.8663681836857909,10718.627121542957,6566400.0,255
MN1770011,0.866115370205623,141.31978596232938,86600.0,256
FL6521715,0.8660938407822328,2286.843246413541,1401400.0,257
MN1060008,0.8659626647719382,149.12645608268585,91400.0,258
MN1480002,0.8642788729592186,275.5266354313789,169200.0,259
ND4900622,0.8631815105892562,192.5587086586696,118400.0,260
PA5100012,0.8630876661956709,6575.55525563665,4043600.0,261
IL0990450,0.8624546234352861,66.94880106715182,41200.0,262
FL6600210,0.8623907850023947,212.85543124694883,131000.0,263
PA1230004,0.8619320842171148,12568.35532509509,7739200.0,264
IL1070400,0.8614184251902632,69.46519498316597,42800.0,265
IL1690200,0.8613014819380316,493.3306646134872,304000.0,266
WI4360364,0.8608485836617226,475.87864030250944,293400.0,267
WI7010107,0.8603767182764339,247.0489145950656,152400.0,268
MI0001330,0.8602224425441078,317.34582528590767,195800.0,269
AR0000465,0.8591936251534616,1279.844449628025,790600.0,270
MN1250001,0.8588991590908696,372.52620663642534,230200.0,271
ND1600159,0.8586334894789401,251.72523170000844,155600.0,272
MN1790013,0.858453206216661,211.23658472794548,130600.0,273
MN1290001,0.8583886132158398,81.83588776427486,50600.0,274
IN5250003,0.8580155005904389,105.07945790257995,65000.0,275
VT0005254,0.8577227655696306,759.8692941087922,470200.0,276
IL1270150,0.8576568769096089,229.13906591239422,141800.0,277
TX2430002,0.8573516661752025,294.9640601478555,182600.0,278
OK1011303,0.8570126771981629,7737.080860207649,4791600.0,279
IL0312850,0.8568724982429724,137.22854641506072,85000.0,280
MN1560016,0.8560259178898808,51.934041298518785,32200.0,281
OH6000212,0.8556937475974582,112.8562802929551,70000.0,282
MT0000329,0.8555965105624108,30.30652813804267,18800.0,283
IN5292007,0.8554881713115208,182.13851263209636,113000.0,284
TN0000117,0.8551535270182473,4987.031842828491,3095200.0,285
MN1640014,0.8548039882714946,39.61968151844023,24600.0,286
NC0362035,0.8543275133651572,234.68819789647296,145800.0,287
FL3480327,0.8541059739375515,94.30152343075079,58600.0,288
WI2650123,0.852538747392175,225.84411614494476,140600.0,289
IL1950350,0.8521265938511456,210.96422659534693,131400.0,290
TN0000522,0.8516101158229356,3051.511337574574,1901800.0,291
NJ1438004,0.8515875331069306,483.27418344911024,301200.0,292
IL0970200,0.8512739007498807,302.81727135135094,188800.0,293
IA6342036,0.8510777168681238,204.2904105082671,127400.0,294
WI2650062,0.8510441991546686,517.9215376533475,323000.0,295
MN1280004,0.8503435975910818,72.09685048623248,45000.0,296
MI0001360,0.8500532756222119,495.53665835538084,309400.0,297
OH8701803,0.8491268719438615,3049.332725083884,1906000.0,298
ND2601037,0.8489031214727764,164.10235914853718,102600.0,299
IN5270005,0.8487877521431485,754.5123867826361,471800.0,300
OH0301212,0.8487557239077423,122.17586091142942,76400.0,301
KS2001510,0.8485821027684247,129.50550211870396,81000.0,302
IL0894070,0.8485783015067918,29.73816727246485,18600.0,303
IL0310060,0.8482646733964566,803.9123475484392,503000.0,304
AZ0403013,0.8480557230183796,461.7762209864648,289000.0,305
IA6171029,0.8478131929471597,337.68711258674415,211400.0,306
IN5225006,0.8475701736733322,621.2045097361909,389000.0,307
NC0459015,0.8473766835798423,31.931244020858745,20000.0,308
SC1310003,0.8470284240586726,136.92873798704767,85800.0,309
IN5271010,0.8467812586362772,140.71783860539068,88200.0,310
NY5600108,0.84544837511613,271.75369252285765,170600.0,311
TX2210002,0.8448021526305513,353.6782880007489,222200.0,312
IN5245048,0.8444357456998365,418.75675649259324,263200.0,313
SD4600004,0.8444341621434786,126.96324658874649,79800.0,314
