pwsid,name,state,must_replace,unknown,pop,lead90,exposure_per_line,cost_total,priority_rank
DE0000602,LEWES BOARD OF PUBLIC WORKS,DE,95.0,1815.0,9627,0.023,11.662854088722609,809500.0,110
WV3302857,RALEIGH COUNTY PSD EGERIA,WV,1.0,1.0,200,0.0141,11.64,4900.0,111
PA7010003,EAST BERLIN AREA JOINT AUTH,PA,32.0,342.0,1750,0.0161,11.609663409337676,218800.0,112
PA6160004,FOXBURG AREA WATER & SEWER AUT,PA,19.0,0.0,925,0.014,11.6,89300.0,113
IL0890600,NORTH AURORA,IL,211.0,357.0,18261,0.018,11.590781320840259,1063100.0,114
NY1310291,TACONIC DDSO,NY,1.0,1.0,500,0.0137,11.48,4900.0,115
PA4550011,SPRING TWP MUNICIPAL AUTHORITY,PA,2.0,75.0,805,0.018,11.461016949152542,24400.0,116
MI0002870,GROSSE ILE TOWNSHIP,MI,28.0,0.0,10788,0.0192,11.45154761904762,131600.0,117
MN1510005,Fulda,MN,1.0,617.0,1318,0.035,11.374325782092773,128100.0,118
AR0000397,JASPER WATERWORKS,AR,18.0,148.0,648,0.023,11.342084942084941,114200.0,119
PA7220046,PILLOW BORO AUTH,PA,4.0,130.0,312,0.028,11.331343283582092,44800.0,120
SC3250012,BGWC I-20 (SC3250012),SC,1.0,1510.0,6637,0.023,11.218394233159335,306700.0,121
MN1210020,Osakis,MN,20.0,197.0,1780,0.018,11.20839580209895,133400.0,122
PA6420021,PORT ALLEGANY WATER DEPARTMENT,PA,226.0,0.0,2591,0.0206,11.185890095426126,1062200.0,123
IL0312070,NORTHBROOK,IL,314.0,0.0,34407,0.016,11.185690302981852,1475800.0,124
PA6610011,PLUMER WATER COMPANY,PA,1.0,60.0,185,0.0166,11.172549019607843,16700.0,125
PA4050030,OSTERBURG WATER CO,PA,27.0,50.0,250,0.0232,11.035598705501618,136900.0,126
AL0000629,SLOCOMB WATER WORKS & SEWER BOARD,AL,106.0,112.0,3630,0.035,10.99375354911982,520600.0,127
IL0312100,NORTHFIELD,IL,85.0,6.0,5470,0.017,10.975404530744337,400700.0,128
WA5309251,SKAMANIA LANDING OWNERS ASSN,WA,1.0,38.0,132,0.0284,10.94779661016949,12300.0,129
PA4180055,PORTER TOWNSHIP MUNICIPAL AUTH,PA,2.0,162.0,425,0.019,10.923694779116465,41800.0,130
MI0004000,MADISON HEIGHTS,MI,232.0,15.0,29694,0.0179,10.875783037819897,1093400.0,131
WI1110100,LODI WATERWORKS,WI,97.0,339.0,3146,0.018,10.866118421052631,523700.0,132
IL1790150,DELAVAN,IL,49.0,0.0,1743,0.033,10.828673835125448,230300.0,133
NY2811730,AMSTERDAM (T),NY,1.0,112.0,3000,0.012,10.8,27100.0,134
FL1170899,NAS SAUFLEY FIELD,FL,10.0,0.0,1728,0.012,10.8,47000.0,135
IL0990650,NORTH UTICA,IL,22.0,440.0,1323,0.0253,10.764687499999999,191400.0,136
PA1090058,RIEGELSVILLE WATER AUTHORITY,PA,41.0,349.0,980,0.023,10.731078904991948,262500.0,137
IL0990500,MARSEILLES,IL,51.0,792.0,5061,0.0191,10.669629995066602,398100.0,138
NC0157010,"FRANKLIN, TOWN OF",NC,10.0,11.0,9650,0.017,10.659184037056834,49200.0,139
PA7500012,BLOOMFIELD BORO WATER AUTH,PA,1.0,310.0,1170,0.017,10.651982378854626,66700.0,140
PA6370032,BOROUGH OF WAMPUM WATER DEPT,PA,15.0,35.0,832,0.017,10.6468524251806,77500.0,141
OK2005510,CHOCTAW UA,OK,5.0,3.0,3926,0.0114,10.56,24100.0,142
GA0390013,USN-KINGS BAY SUBMARINE BASE,GA,2.0,60.0,9730,0.011,10.4,21400.0,143
NN0436011,Hunters Point Boarding School BIA,AZ,7.0,11.0,173,0.011,10.4,35100.0,144
WY5680079,YNP - LAKE VILLAGE,WY,108.0,321.0,5925,0.011,10.4,571800.0,145
PA3130026,NESQUEHONING BORO WATER AUTH,PA,2.0,1216.0,2850,0.022,10.383360522022839,252600.0,146
OH6203311,PUT-IN-BAY VILLAGE,OH,2.0,19.0,5000,0.0109,10.36,13200.0,147
PA4140095,PENN STATE UNIV,PA,3.0,0.0,37000,0.0108,10.32,14100.0,148
VT0005385,MANSFIELD VIEW WATER CORP,VT,1.0,47.0,121,0.0164,10.318611111111112,14100.0,149
IL0890350,GENEVA,IL,438.0,343.0,21247,0.0107,10.280000000000001,2127200.0,150
IL0990550,MENDOTA,IL,103.0,1315.0,6926,0.0158,10.094709337168885,747100.0,151
NH0381010,CARROLL WATER WORKS,NH,15.0,413.0,875,0.029,10.085669781931466,153100.0,152
MN1600002,Crookston,MN,14.0,1790.0,7272,0.017,10.025883922615076,423800.0,153
PA2640047,PA AMER WATER CO INDIAN ROCKS,PA,1.0,446.0,1100,0.0233,10.017333333333335,93900.0,154
NJ1309001,US NAVAL WEAPONS STATION,NJ,16.0,0.0,1200,0.01,10.0,75200.0,155
WY5680001,VETERANS ADMINISTRATION MEDICAL CENTER,WY,11.0,9.0,685,0.01,10.0,53500.0,156
MT0002729,ST MARY HEADQUARTERS AND CG,MT,1.0,0.0,1030,0.01,10.0,4700.0,157
NY7003493,NEW YORK CITY SYSTEM,NY,124197.0,124917.0,8271000,0.01,10.0,608709300.0,158
AL0000755,MULGA WATER DEPARTMENT,AL,153.0,344.0,5991,0.017,9.985,787900.0,159
MI0002550,GARDEN CITY,MI,315.0,577.0,27625,0.0176,9.911307886290693,1595900.0,160
WI1250084,MINERAL POINT WATERWORKS,WI,94.0,672.0,2487,0.037,9.873347857661583,576200.0,161
NE3117906,"KENNARD, VILLAGE OF",NE,15.0,95.0,1350,0.0096,9.84,89500.0,162
PA5100026,BERNIES MOBILE HOME PARK,NC,2.0,2.0,170,0.0157,9.689201877934272,9800.0,163
FL1460826,EGLIN MAIN,FL,9.0,255.0,4169,0.0092,9.68,93300.0,164
PA6240007,JOHNSONBURG MUNICIPAL AUTH,PA,1.0,1370.0,2413,0.0372,9.644959883296863,278700.0,165
